email,phone_number,age,age_group,credit_score,family_background,income,intent,comments
larsonemma@example.org,+91 8718469094,35,26-35,707,Married,820828.85,Low,"Considering options carefully, need more technical details"
kwilson@example.org,+91 9294730672,62,56-65,776,Divorced,1580716.55,High,"Budget approved by management, ready to proceed"
harveyrobert@example.net,+91 6189148870,43,36-45,768,Married with Children,1207876.03,High,"Attended your webinar, convinced about the value proposition"
sarah35@example.org,+91 8512400986,43,36-45,763,Single Parent,1058730.55,High,Looking for high-quality solutions for my business needs
randy47@example.com,+91 6989960694,42,36-45,819,Married,1820773.18,High,Looking for high-quality solutions for my business needs
smithchristine@example.net,+91 8613621960,53,46-55,758,Married with Children,1118509.51,High,"Attended your webinar, convinced about the value proposition"
jonesjason@example.com,+91 8703581091,19,18-25,602,Married,312203.8,Low,"Not ready to make a decision, still in research phase"
sarahibarra@example.org,+91 8630487898,29,26-35,663,Married with Children,795185.83,Low,"Timeline is flexible, but quality is most important factor"
justin78@example.net,+91 6804808739,50,46-55,731,Married,1563996.71,High,"Budget approved by management, ready to proceed"
cheryl80@example.net,+91 7186337354,55,46-55,800,Married,1496949.4,High,"My colleague recommended your service, very interested"
sarah12@example.com,+91 8390921107,58,56-65,781,Married,1092076.95,High,Expansion plans require robust solution like yours
prestonjulia@example.org,+91 6187282819,53,46-55,450,Divorced,1438393.36,Low,"Part of market research, not actively buying"
juan35@example.org,+91 7440172927,53,46-55,727,Married with Children,1456835.3,High,"Impressed with your product features, let's discuss pricing"
william40@example.org,+91 9088493564,65,56-65,450,Married,2310193.88,High,"Attended your webinar, convinced about the value proposition"
ccalderon@example.org,+91 8108071725,32,26-35,724,Married,1517662.85,High,Expansion plans require robust solution like yours
kellie42@example.net,+91 6533313050,36,36-45,659,Married,752175.62,Low,"Student/researcher, mainly interested in learning"
barnold@example.net,+91 8052969113,44,36-45,820,Married,1987893.19,High,Looking for high-quality solutions for my business needs
rodriguezsierra@example.net,+91 8352074435,50,46-55,722,Divorced,1011818.21,Low,Might purchase in the next few months if budget allows
amydavenport@example.net,+91 9178047136,40,36-45,764,Divorced,1493547.64,High,Expansion plans require robust solution like yours
russellwilliams@example.com,+91 7603385855,27,26-35,666,Married with Children,889677.79,Low,"Not the decision maker, just gathering information"
nolanjason@example.org,+91 8580587527,21,18-25,636,Married,434261.18,Low,Need to focus on core business first before expanding
gomezanita@example.com,+91 6971010080,55,46-55,820,Married with Children,1146573.39,High,"Need urgent solution for my project, can we fast-track this?"
sarayoung@example.org,+91 9072585868,53,46-55,791,Divorced,1294523.8,High,"ROI calculations look promising, let's move forward"
nicolejohnson@example.net,+91 8335959289,37,36-45,659,Married,1048029.15,High,Ready to make a purchase decision within this week
kimberly63@example.com,+91 9151254782,20,18-25,776,Single,300000.0,Low,"Timeline is flexible, but quality is most important factor"
kristinrodriguez@example.org,+91 6973433710,44,36-45,820,Married with Children,2156010.17,High,"Looking for long-term partnership, not just one-time purchase"
dwalker@example.com,+91 8295217402,49,46-55,710,Divorced,711205.19,High,"Need urgent solution for my project, can we fast-track this?"
lori33@example.org,+91 6458576831,18,18-25,696,Single,791830.92,Low,Comparing features and prices with 2-3 other vendors
raymondramirez@example.org,+91 9692599804,26,26-35,595,Single,572526.59,Low,"Heard about your company, wanted to check what you offer"
michael86@example.net,+91 6400775311,22,18-25,627,Married,345756.76,Low,"Current solution works fine, just checking alternatives"
sheila14@example.org,+91 8934171818,43,36-45,713,Married with Children,1687916.23,High,Expansion plans require robust solution like yours
benjamin96@example.com,+91 6319671406,51,46-55,757,Single Parent,666248.54,High,Looking for high-quality solutions for my business needs
samuel81@example.com,+91 7097707830,40,36-45,796,Married with Children,1862826.77,High,"Had a great experience with your competitor, want to switch"
jonathanfletcher@example.org,+91 8808884831,39,36-45,820,Married with Children,2319534.97,High,"Impressed with your product features, let's discuss pricing"
michaeljones@example.net,+91 7568409642,34,26-35,736,Married,1040265.8,Low,Boss asked me to research but no immediate plans
cindy14@example.net,+91 8791824971,40,36-45,684,Single Parent,499017.77,Low,Boss asked me to research but no immediate plans
elizabeth56@example.net,+91 9651466483,59,56-65,687,Single,920538.4,High,Comparing different premium options but leaning towards your product
angela36@example.net,+91 9279311039,20,18-25,628,Single,726492.98,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
lbyrd@example.net,+91 7733356507,42,36-45,792,Married with Children,1740046.84,High,"ROI calculations look promising, let's move forward"
richard04@example.com,+91 7798977094,33,26-35,668,Married with Children,1039334.49,Low,"Part of market research, not actively buying"
russellcarpenter@example.net,+91 6021064054,42,36-45,743,Married with Children,1179255.25,High,Expansion plans require robust solution like yours
steven73@example.net,+91 6126412956,52,46-55,770,Married with Children,2731213.3,High,"Willing to pay for quality service, budget is not a constraint"
yleon@example.net,+91 9403287058,36,36-45,764,Single Parent,1091100.36,High,"Impressed with your product features, let's discuss pricing"
donnacampbell@example.net,+91 7712592551,67,65+,733,Married,1943537.1,High,Comparing different premium options but leaning towards your product
clarence34@example.org,+91 6869860732,62,56-65,723,Married,959341.37,High,"Attended your webinar, convinced about the value proposition"
dylanwilliams@example.com,+91 6843551760,41,36-45,683,Married,732295.1,Low,"Price is a major concern, looking for budget-friendly options"
gibsonolivia@example.net,+91 8880236931,38,36-45,688,Single Parent,990764.28,Low,"Student/researcher, mainly interested in learning"
jennifercruz@example.com,+91 8095127952,49,46-55,757,Single Parent,845354.47,High,"Very interested in premium products, please schedule a demo"
dylanwatts@example.org,+91 9053228584,22,18-25,637,Single,300000.0,Low,Need references from similar companies in our industry
zrobinson@example.net,+91 6315162242,34,26-35,714,Single,1075934.12,Low,"Not ready to make a decision, still in research phase"
pwilliams@example.org,+91 6826033670,29,26-35,662,Single,807333.15,Low,Will consider in the future when business grows
danderson@example.net,+91 9265645461,22,18-25,608,Single,370329.05,Low,"Considering options carefully, need more technical details"
stephanie79@example.net,+91 7144143020,40,36-45,699,Single Parent,487575.21,Low,Need to focus on core business first before expanding
jrivas@example.com,+91 9172835949,64,56-65,811,Married,1900508.7,High,"Impressed with your product features, let's discuss pricing"
juliawells@example.com,+91 6617570067,60,56-65,739,Divorced,1064605.74,Low,Might purchase in the next few months if budget allows
maryramirez@example.net,+91 8027270434,29,26-35,632,Single,901525.6,Low,"Timeline is flexible, but quality is most important factor"
rsims@example.com,+91 7795077881,48,46-55,820,Married,1959255.96,High,"Looking for long-term partnership, not just one-time purchase"
reevesjimmy@example.com,+91 8194371541,24,18-25,641,Single,571527.76,Low,"Part of market research, not actively buying"
patricia12@example.org,+91 7334207429,52,46-55,683,Single Parent,766387.76,High,Expansion plans require robust solution like yours
patrickhernandez@example.org,+91 6776655851,22,18-25,659,Single,701764.49,Low,Boss asked me to research but no immediate plans
perrymark@example.com,+91 6072526684,35,26-35,652,Married,1344644.54,High,"Willing to pay for quality service, budget is not a constraint"
abrown@example.com,+91 9291894618,34,26-35,624,Married,421982.68,Low,Boss asked me to research but no immediate plans
gateskathy@example.com,+91 9265724933,53,46-55,782,Married with Children,1158370.9,Low,Budget constraints prevent immediate purchase
wsmith@example.com,+91 6953830663,38,36-45,820,Married,1619252.18,High,Looking for high-quality solutions for my business needs
acastaneda@example.net,+91 8202579543,39,36-45,820,Married,1886127.62,High,"Very interested in premium products, please schedule a demo"
tracynelson@example.com,+91 8850053356,40,36-45,737,Married,1245596.02,High,"Looking for long-term partnership, not just one-time purchase"
priceelizabeth@example.com,+91 8924430494,55,46-55,734,Married,2185334.49,High,"My colleague recommended your service, very interested"
marycalhoun@example.net,+91 9585837834,21,18-25,581,Single,300000.0,Low,Economic uncertainty makes us cautious about new purchases
meadowsbrittany@example.net,+91 7985837319,40,36-45,701,Married with Children,1533969.29,High,Looking for high-quality solutions for my business needs
millerroy@example.com,+91 9737649978,40,36-45,796,Married with Children,2015265.71,High,"Attended your webinar, convinced about the value proposition"
brentgray@example.org,+91 6801439865,36,36-45,615,Divorced,663153.45,Low,Budget constraints prevent immediate purchase
wmurphy@example.com,+91 7001551094,23,18-25,554,Married,886021.17,Low,Comparing features and prices with 2-3 other vendors
karen64@example.org,+91 8759220643,39,36-45,656,Single Parent,932471.47,High,"Had a great experience with your competitor, want to switch"
ismith@example.org,+91 9879901872,56,56-65,783,Married,2160121.85,High,Comparing different premium options but leaning towards your product
jeffrey10@example.org,+91 8797783447,53,46-55,691,Married with Children,1873962.79,High,Ready to make a purchase decision within this week
jamessmith@example.org,+91 6217500674,50,46-55,819,Married with Children,2261338.44,High,"Need urgent solution for my project, can we fast-track this?"
davidcaldwell@example.net,+91 6413596482,44,36-45,766,Single Parent,605499.11,High,"Attended your webinar, convinced about the value proposition"
stevenscott@example.com,+91 6835152818,27,26-35,649,Married with Children,1641364.93,Low,"Just browsing for now, collecting information for future"
catherinestuart@example.net,+91 6231821986,41,36-45,739,Single Parent,1235342.85,Low,"Just browsing for now, collecting information for future"
stricklandfrank@example.com,+91 9112776583,33,26-35,699,Single,349045.79,Low,"Considering options carefully, need more technical details"
lanesarah@example.net,+91 8844330682,24,18-25,646,Single,754873.85,Low,Waiting for next quarter budget allocation to decide
tsanders@example.org,+91 7753472230,25,18-25,689,Single,789948.59,High,Ready to make a purchase decision within this week
vargasmaria@example.org,+91 6368682375,21,18-25,450,Single,359684.93,Low,Boss asked me to research but no immediate plans
terrykevin@example.net,+91 6288337185,62,56-65,812,Married,2234124.91,High,Comparing different premium options but leaning towards your product
hoganashlee@example.org,+91 8443420488,46,46-55,819,Married,2641560.62,High,"Had a great experience with your competitor, want to switch"
amanda51@example.net,+91 9829357425,38,36-45,746,Married with Children,1734480.28,High,Looking for high-quality solutions for my business needs
alexander67@example.org,+91 9168076555,26,26-35,628,Single,766424.77,Low,"Timing is not right, maybe next year"
oyu@example.com,+91 6802723705,56,56-65,713,Married,744265.01,High,Expansion plans require robust solution like yours
ryangross@example.net,+91 7588740807,42,36-45,665,Married with Children,778743.08,Low,Boss asked me to research but no immediate plans
christina87@example.com,+91 6072774096,70,65+,809,Married,1430053.96,High,Expansion plans require robust solution like yours
lpetersen@example.com,+91 6314273009,34,26-35,695,Married with Children,1362515.89,High,"Budget approved by management, ready to proceed"
melissa14@example.com,+91 6912588623,40,36-45,450,Divorced,482549.99,Low,"Just browsing for now, collecting information for future"
karenhudson@example.net,+91 8944086785,51,46-55,737,Single Parent,945602.17,High,"Had a great experience with your competitor, want to switch"
frogers@example.com,+91 7122867985,46,46-55,816,Married with Children,2021984.0,High,"ROI calculations look promising, let's move forward"
tonykelly@example.com,+91 9291200547,29,26-35,644,Married,1056283.58,Low,"Part of market research, not actively buying"
joshua94@example.net,+91 6772395921,30,26-35,728,Single,1000865.88,High,"Very interested in premium products, please schedule a demo"
blackjames@example.org,+91 6305344801,30,26-35,681,Married with Children,1061382.58,Low,Impressed by features but implementation seems complex
wfreeman@example.org,+91 7044632072,27,26-35,734,Married,875634.95,Low,"Considering options carefully, need more technical details"
fbrewer@example.com,+91 9404352415,41,36-45,820,Married,1980514.81,High,"Willing to pay for quality service, budget is not a constraint"
davisjeffrey@example.net,+91 6950229356,31,26-35,803,Married,1059742.18,Low,"Current solution works fine, just checking alternatives"
kevinperkins@example.com,+91 8412362873,18,18-25,617,Married,1078271.4,High,"Budget approved by management, ready to proceed"
ronald85@example.com,+91 6615525994,27,26-35,751,Single,868576.54,Low,Product looks good but need to understand implementation process
qnelson@example.org,+91 6766203840,22,18-25,663,Single,672740.13,Low,"Looking for basic options only, nothing too complex"
griffithleslie@example.net,+91 8176813527,21,18-25,670,Single,630467.23,Low,Need references from similar companies in our industry
jamesrodgers@example.com,+91 9511971627,33,26-35,769,Married,1452590.99,High,"Very interested in premium products, please schedule a demo"
tina34@example.org,+91 6844242885,32,26-35,783,Married,930056.1,High,Expansion plans require robust solution like yours
harry08@example.org,+91 7347536716,27,26-35,735,Single,786609.7,High,"ROI calculations look promising, let's move forward"
brandon08@example.com,+91 6099155067,54,46-55,820,Married with Children,3012436.05,High,"Willing to pay for quality service, budget is not a constraint"
danamullins@example.org,+91 9122057240,55,46-55,820,Married with Children,2988694.93,High,"ROI calculations look promising, let's move forward"
andrewstaylor@example.com,+91 8444070388,20,18-25,660,Single,809682.95,Low,"Not ready to make a decision, still in research phase"
jack04@example.com,+91 8128681431,34,26-35,682,Married with Children,1444255.2,High,"Need urgent solution for my project, can we fast-track this?"
shortrichard@example.org,+91 6187763125,40,36-45,716,Married with Children,1646945.2,High,"Very interested in premium products, please schedule a demo"
hernandezlisa@example.com,+91 7594494571,21,18-25,639,Married,338959.92,Low,"Student/researcher, mainly interested in learning"
mcknightdavid@example.com,+91 7378399503,36,36-45,820,Married with Children,2652507.37,High,Comparing different premium options but leaning towards your product
kimberlyjames@example.com,+91 6069638436,58,56-65,820,Married,2346424.16,High,"Impressed with your product features, let's discuss pricing"
michelle64@example.net,+91 6537281169,43,36-45,740,Divorced,1288982.67,Low,"Too many features, looking for something simpler"
lynchjody@example.org,+91 6969898924,39,36-45,793,Married with Children,2054777.99,High,"Willing to pay for quality service, budget is not a constraint"
josephmiller@example.org,+91 7758819014,44,36-45,722,Married with Children,985864.2,High,Comparing different premium options but leaning towards your product
andreamoore@example.com,+91 7455519257,26,26-35,720,Single,1076025.24,Low,"Student/researcher, mainly interested in learning"
enorris@example.com,+91 7832798481,42,36-45,659,Married with Children,745798.54,Low,Economic uncertainty makes us cautious about new purchases
halljasmine@example.net,+91 7167973060,33,26-35,806,Married with Children,1608873.22,High,"Willing to pay for quality service, budget is not a constraint"
ojones@example.com,+91 6947971675,44,36-45,820,Married with Children,2491392.74,High,Ready to make a purchase decision within this week
ronaldstephens@example.net,+91 9342206901,85,65+,820,Married,1114313.57,High,"Looking for long-term partnership, not just one-time purchase"
rebekahserrano@example.org,+91 6336988490,27,26-35,750,Married,673274.41,Low,"Student/researcher, mainly interested in learning"
martinkyle@example.net,+91 7226669744,52,46-55,777,Married with Children,1989317.06,High,"My colleague recommended your service, very interested"
scott74@example.net,+91 9268392402,20,18-25,698,Married,597019.91,Low,Might purchase in the next few months if budget allows
gbender@example.net,+91 6647364488,41,36-45,820,Married with Children,2151793.98,High,Comparing different premium options but leaning towards your product
mkim@example.org,+91 6322535238,52,46-55,820,Married with Children,2909854.25,High,"Budget approved by management, ready to proceed"
mnavarro@example.com,+91 8536754547,52,46-55,820,Married with Children,2478531.11,High,"My colleague recommended your service, very interested"
davissuzanne@example.net,+91 6958033844,18,18-25,621,Single,318221.0,Low,Budget constraints prevent immediate purchase
keyemily@example.com,+91 8506968018,31,26-35,722,Single,1062992.17,High,"Attended your webinar, convinced about the value proposition"
hinesgregory@example.net,+91 9600293310,21,18-25,708,Single,689743.13,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
lmoon@example.net,+91 8580072404,51,46-55,820,Married,2652949.7,High,"Budget approved by management, ready to proceed"
fwalters@example.org,+91 8983361752,43,36-45,820,Married with Children,1957250.72,High,"Impressed with your product features, let's discuss pricing"
vbailey@example.com,+91 9004405048,60,56-65,820,Married,2133009.55,High,Ready to make a purchase decision within this week
hodgemark@example.net,+91 7416303566,28,26-35,706,Married with Children,1273455.56,Low,Product looks good but need to understand implementation process
zroberts@example.net,+91 6841938006,35,26-35,707,Married,1262744.61,High,"Had a great experience with your competitor, want to switch"
gibsonleonard@example.com,+91 7966538532,37,36-45,750,Married with Children,749919.15,Low,"Looking for basic options only, nothing too complex"
cordovarichard@example.net,+91 8130298945,60,56-65,820,Married,1768322.13,High,"Attended your webinar, convinced about the value proposition"
sandovalamy@example.com,+91 6036083209,35,26-35,686,Married with Children,763361.58,Low,Need to focus on core business first before expanding
lopezmichael@example.com,+91 8483892708,47,46-55,803,Single Parent,560594.31,High,"Willing to pay for quality service, budget is not a constraint"
nwolf@example.com,+91 8084171290,47,46-55,754,Married with Children,1609310.55,High,"Impressed with your product features, let's discuss pricing"
sarakim@example.net,+91 7295067729,41,36-45,742,Single Parent,736288.77,High,Comparing different premium options but leaning towards your product
omartinez@example.net,+91 6174195973,40,36-45,777,Single Parent,826875.43,Low,Interested but needs approval from my manager first
jennifercollins@example.org,+91 9657306251,41,36-45,709,Married,899353.85,Low,"Considering options carefully, need more technical details"
hdavis@example.com,+91 7623223403,63,56-65,756,Married,1149826.1,High,Expansion plans require robust solution like yours
hollanderic@example.net,+91 9643909960,34,26-35,705,Single,944466.05,Low,Will consider in the future when business grows
william46@example.com,+91 7606285846,29,26-35,699,Single,381100.63,Low,"Just browsing for now, collecting information for future"
jsanchez@example.org,+91 7092992318,32,26-35,716,Single,597698.03,Low,Need references from similar companies in our industry
mlee@example.net,+91 9780022979,27,26-35,651,Single,720974.72,Low,"Considering options carefully, need more technical details"
michellehill@example.com,+91 9679064902,26,26-35,722,Married with Children,1504965.88,High,"Budget approved by management, ready to proceed"
sarah84@example.org,+91 6249858770,41,36-45,763,Single Parent,896259.96,Low,"Price is a major concern, looking for budget-friendly options"
jessica99@example.net,+91 6248712175,44,36-45,709,Single Parent,1279411.85,High,Looking for high-quality solutions for my business needs
cgrimes@example.net,+91 7539222576,29,26-35,653,Single,565156.39,Low,"Too many features, looking for something simpler"
jreed@example.net,+91 9178378994,42,36-45,450,Married with Children,2221833.72,High,"Budget approved by management, ready to proceed"
ugibson@example.org,+91 8859062493,60,56-65,819,Divorced,632197.45,Low,Waiting for next quarter budget allocation to decide
ashleyhall@example.com,+91 6719091129,36,36-45,767,Married with Children,2090870.67,High,Expansion plans require robust solution like yours
floresthomas@example.com,+91 6049365964,49,46-55,820,Married with Children,3111436.07,High,"Impressed with your product features, let's discuss pricing"
ymcneil@example.net,+91 6455424715,43,36-45,820,Married with Children,2503902.57,High,Looking for high-quality solutions for my business needs
tylerjohnson@example.net,+91 9055392202,20,18-25,599,Married,660358.13,Low,Product looks good but need to understand implementation process
molly71@example.net,+91 8244928321,54,46-55,820,Married with Children,2218727.84,High,"Need urgent solution for my project, can we fast-track this?"
jsmith@example.com,+91 9442413509,54,46-55,820,Married with Children,3032653.6,High,"Budget approved by management, ready to proceed"
charlesharrington@example.com,+91 6468885952,52,46-55,807,Married with Children,1254312.38,High,"ROI calculations look promising, let's move forward"
cindy61@example.com,+91 6131067535,43,36-45,805,Divorced,1397172.75,High,"Budget approved by management, ready to proceed"
ofinley@example.net,+91 9753779033,32,26-35,748,Married,1532757.9,High,"Need urgent solution for my project, can we fast-track this?"
cbrennan@example.net,+91 9822349068,40,36-45,744,Married,1199338.85,Low,Boss asked me to research but no immediate plans
younggabrielle@example.com,+91 7169131579,24,18-25,683,Single,794007.62,High,"Impressed with your product features, let's discuss pricing"
juliehamilton@example.org,+91 9767779603,49,46-55,820,Married with Children,2708844.61,High,"Need urgent solution for my project, can we fast-track this?"
wallaceheather@example.org,+91 7164597726,24,18-25,612,Married,651517.43,Low,"Price is a major concern, looking for budget-friendly options"
nguyenbrian@example.com,+91 6581270966,44,36-45,556,Divorced,425753.6,Low,"Currently happy with existing solution, just exploring"
ryan38@example.com,+91 8682166387,26,26-35,795,Married with Children,1153395.86,High,Expansion plans require robust solution like yours
georgemiller@example.com,+91 8536785574,28,26-35,704,Single,941963.07,Low,Might purchase in the next few months if budget allows
tyleraguilar@example.org,+91 7292043884,62,56-65,819,Married,2073366.0,High,"Very interested in premium products, please schedule a demo"
dlittle@example.com,+91 9305300079,32,26-35,675,Single,452372.42,Low,Might purchase in the next few months if budget allows
nolansteven@example.com,+91 6615106114,52,46-55,752,Married with Children,1363772.14,High,"Attended your webinar, convinced about the value proposition"
charleslandry@example.net,+91 8463083850,47,46-55,820,Married with Children,1616176.31,High,"Budget approved by management, ready to proceed"
danielle64@example.com,+91 7079260094,42,36-45,696,Divorced,818523.88,High,Ready to make a purchase decision within this week
james67@example.org,+91 7780227042,33,26-35,767,Married with Children,830455.26,High,"Need urgent solution for my project, can we fast-track this?"
patrickhoward@example.com,+91 6233590393,46,46-55,789,Single Parent,1215153.51,High,Ready to make a purchase decision within this week
andrew64@example.org,+91 7770917077,29,26-35,692,Single,418588.74,Low,"Small business, concerned about ongoing costs"
lozanojulie@example.com,+91 6129759893,55,46-55,715,Married,1317122.01,High,"Very interested in premium products, please schedule a demo"
catherinegomez@example.net,+91 8284916136,32,26-35,680,Single,636525.97,High,"Willing to pay for quality service, budget is not a constraint"
christinebyrd@example.net,+91 7403599384,45,36-45,820,Married with Children,2506777.81,High,"Willing to pay for quality service, budget is not a constraint"
courtneyberger@example.net,+91 8142576271,39,36-45,775,Married,2042361.64,High,"Impressed with your product features, let's discuss pricing"
parkerscott@example.net,+91 8548107269,53,46-55,820,Married with Children,3007509.33,High,"My colleague recommended your service, very interested"
